seq_id,description,length,pred_class,bit_score,evalue,query_len,target_len
sp|O88343|S4A4_MOUSE,sp|O88343|S4A4_MOUSE Electrogenic sodium bicarbonate cotransporter 1 OS=Mus musculus OX=10090 GN=Slc4a4 PE=1 SV=2,1079,NO_HIT,,,,
sp|P00879|RBL_NOSS1,sp|P00879|RBL_NOSS1 Ribulose bisphosphate carboxylase large chain OS=Nostoc sp. (strain PCC 7120 / SAG 25.82 / UTEX 2576) OX=103690 GN=cbbL PE=1 SV=3,476,NO_HIT,,,,
sp|P00915|CAH1_HUMAN,sp|P00915|CAH1_HUMAN Carbonic anhydrase 1 OS=Homo sapiens OX=9606 GN=CA1 PE=1 SV=2,261,8ca.beta.45,152.8,8e-48,261.0,381.0
sp|P00917|CAH1_HORSE,sp|P00917|CAH1_HORSE Carbonic anhydrase 1 OS=Equus caballus OX=9796 GN=CA1 PE=1 SV=3,261,8ca.beta.45,159.3,8.6e-50,261.0,381.0
sp|P00918|CAH2_HUMAN,sp|P00918|CAH2_HUMAN Carbonic anhydrase 2 OS=Homo sapiens OX=9606 GN=CA2 PE=1 SV=2,260,8ca.beta.45,147.2,4.2999999999999996e-46,260.0,381.0
sp|P00919|CAH2_RABIT,sp|P00919|CAH2_RABIT Carbonic anhydrase 2 OS=Oryctolagus cuniculus OX=9986 GN=CA2 PE=1 SV=3,260,8ca.beta.45,152.3,1.2e-47,260.0,381.0
sp|P00920|CAH2_MOUSE,sp|P00920|CAH2_MOUSE Carbonic anhydrase 2 OS=Mus musculus OX=10090 GN=Ca2 PE=1 SV=4,260,8ca.beta.45,150.1,5.3e-47,260.0,381.0
sp|P00921|CAH2_BOVIN,sp|P00921|CAH2_BOVIN Carbonic anhydrase 2 OS=Bos taurus OX=9913 GN=CA2 PE=1 SV=3,260,8ca.beta.45,156.9,4.8e-49,260.0,381.0
sp|P00922|CAH2_SHEEP,sp|P00922|CAH2_SHEEP Carbonic anhydrase 2 OS=Ovis aries OX=9940 GN=CA2 PE=1 SV=2,260,8ca.beta.45,141.4,2.5e-44,260.0,381.0
sp|P07451|CAH3_HUMAN,sp|P07451|CAH3_HUMAN Carbonic anhydrase 3 OS=Homo sapiens OX=9606 GN=CA3 PE=1 SV=3,260,8ca.beta.45,140.5,4.5e-44,260.0,381.0
sp|P07630|CAH2_CHICK,sp|P07630|CAH2_CHICK Carbonic anhydrase 2 OS=Gallus gallus OX=9031 GN=CA2 PE=2 SV=3,260,8ca.beta.45,144.0,4.000000000000001e-45,260.0,381.0
sp|P12960|CNTN1_MOUSE,sp|P12960|CNTN1_MOUSE Contactin-1 OS=Mus musculus OX=10090 GN=Cntn1 PE=1 SV=1,1020,NO_HIT,,,,
sp|P14141|CAH3_RAT,sp|P14141|CAH3_RAT Carbonic anhydrase 3 OS=Rattus norvegicus OX=10116 GN=Ca3 PE=1 SV=3,260,8ca.beta.45,135.4,1.6e-42,260.0,381.0
sp|P16015|CAH3_MOUSE,sp|P16015|CAH3_MOUSE Carbonic anhydrase 3 OS=Mus musculus OX=10090 GN=Ca3 PE=1 SV=3,260,8ca.beta.45,134.9,2.3e-42,260.0,381.0
sp|P17067|CAHC_PEA,"sp|P17067|CAHC_PEA Carbonic anhydrase, chloroplastic OS=Pisum sativum OX=3888 PE=1 SV=1",328,8ca.alpha.45,7.3,0.0011,328.0,349.0
sp|P18761|CAH6_MOUSE,sp|P18761|CAH6_MOUSE Carbonic anhydrase 6 OS=Mus musculus OX=10090 GN=Ca6 PE=1 SV=3,317,8ca.beta.45,143.1,7.100000000000002e-45,317.0,381.0
sp|P20507|CAH1_CHLRE,sp|P20507|CAH1_CHLRE Carbonic anhydrase 1 OS=Chlamydomonas reinhardtii OX=3055 GN=CAH1 PE=1 SV=1,377,8ca.beta.45,130.4,5.3e-41,377.0,381.0
sp|P22748|CAH4_HUMAN,sp|P22748|CAH4_HUMAN Carbonic anhydrase 4 OS=Homo sapiens OX=9606 GN=CA4 PE=1 SV=2,312,8ca.beta.45,104.6,3.7e-33,312.0,381.0
sp|P23280|CAH6_HUMAN,sp|P23280|CAH6_HUMAN Carbonic anhydrase 6 OS=Homo sapiens OX=9606 GN=CA6 PE=1 SV=3,308,8ca.beta.45,110.8,4.8e-35,308.0,381.0
sp|P23470|PTPRG_HUMAN,sp|P23470|PTPRG_HUMAN Receptor-type tyrosine-protein phosphatase gamma OS=Homo sapiens OX=9606 GN=PTPRG PE=1 SV=4,1445,8ca.beta.45,95.6,2e-30,1445.0,381.0
sp|P23471|PTPRZ_HUMAN,sp|P23471|PTPRZ_HUMAN Receptor-type tyrosine-protein phosphatase zeta OS=Homo sapiens OX=9606 GN=PTPRZ1 PE=1 SV=4,2315,8ca.beta.45,91.9,2.6e-29,2315.0,381.0
sp|P23589|CAH5A_MOUSE,"sp|P23589|CAH5A_MOUSE Carbonic anhydrase 5A, mitochondrial OS=Mus musculus OX=10090 GN=Ca5a PE=1 SV=2",299,8ca.beta.45,119.6,1e-37,299.0,381.0
sp|P27134|CYNT_SYNE7,sp|P27134|CYNT_SYNE7 Carbonic anhydrase OS=Synechococcus elongatus (strain ATCC 33912 / PCC 7942 / FACHB-805) OX=1140 GN=ccaA PE=1 SV=1,272,8ca.alpha.45,20.1,1.5e-07,272.0,349.0
sp|P27139|CAH2_RAT,sp|P27139|CAH2_RAT Carbonic anhydrase 2 OS=Rattus norvegicus OX=10116 GN=Ca2 PE=1 SV=2,260,8ca.beta.45,148.1,2.3e-46,260.0,381.0
sp|P27140|BCA1_ARATH,"sp|P27140|BCA1_ARATH Beta carbonic anhydrase 1, chloroplastic OS=Arabidopsis thaliana OX=3702 GN=BCA1 PE=1 SV=2",347,8ca.alpha.45,15.2,4.4e-06,347.0,349.0
sp|P28651|CAH8_MOUSE,sp|P28651|CAH8_MOUSE Carbonic anhydrase-related protein OS=Mus musculus OX=10090 GN=Ca8 PE=1 SV=5,291,8ca.beta.45,97.4,5.6e-31,291.0,381.0
sp|P35218|CAH5A_HUMAN,"sp|P35218|CAH5A_HUMAN Carbonic anhydrase 5A, mitochondrial OS=Homo sapiens OX=9606 GN=CA5A PE=1 SV=1",305,8ca.beta.45,119.5,1.1e-37,305.0,381.0
sp|P35219|CAH8_HUMAN,sp|P35219|CAH8_HUMAN Carbonic anhydrase-related protein OS=Homo sapiens OX=9606 GN=CA8 PE=1 SV=3,290,8ca.beta.45,96.3,1.2e-30,290.0,381.0
sp|P40881|CAH_METTT,sp|P40881|CAH_METTT Carbonic anhydrase OS=Methanosarcina thermophila (strain ATCC 43570 / DSM 1825 / OCM 12 / VKM B-1830 / TM-1) OX=523844 GN=MSTHT_0588 PE=1 SV=1,247,8ca.gamma.45,68.5,2.1e-22,247.0,185.0
sp|P42737|BCA2_ARATH,"sp|P42737|BCA2_ARATH Beta carbonic anhydrase 2, chloroplastic OS=Arabidopsis thaliana OX=3702 GN=BCA2 PE=1 SV=3",331,8ca.alpha.45,15.1,4.9e-06,331.0,349.0
sp|P43166|CAH7_HUMAN,sp|P43166|CAH7_HUMAN Carbonic anhydrase 7 OS=Homo sapiens OX=9606 GN=CA7 PE=1 SV=1,264,8ca.beta.45,151.3,2.4e-47,264.0,381.0
sp|P43241|CDX2_MOUSE,sp|P43241|CDX2_MOUSE Homeobox protein CDX-2 OS=Mus musculus OX=10090 GN=Cdx2 PE=1 SV=1,311,NO_HIT,,,,
sp|P45689|CSOSA_HALNC,sp|P45689|CSOSA_HALNC Major carboxysome shell protein CsoS1A OS=Halothiobacillus neapolitanus (strain ATCC 23641 / c2) OX=555778 GN=csoS1A PE=1 SV=2,98,NO_HIT,,,,
sp|P48284|CAH4_RAT,sp|P48284|CAH4_RAT Carbonic anhydrase 4 OS=Rattus norvegicus OX=10116 GN=Ca4 PE=1 SV=1,309,8ca.beta.45,106.3,1.1e-33,309.0,381.0
sp|P53615|CAN_YEAST,sp|P53615|CAN_YEAST Carbonic anhydrase OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=NCE103 PE=1 SV=1,221,8ca.alpha.45,17.7,7.6e-07,221.0,349.0
sp|P56524|HDAC4_HUMAN,sp|P56524|HDAC4_HUMAN Histone deacetylase 4 OS=Homo sapiens OX=9606 GN=HDAC4 PE=1 SV=3,1084,NO_HIT,,,,
sp|P72758|CCMM_SYNY3,sp|P72758|CCMM_SYNY3 Carboxysome assembly protein CcmM OS=Synechocystis sp. (strain ATCC 27184 / PCC 6803 / Kazusa) OX=1111708 GN=ccmM PE=1 SV=1,687,8ca.gamma.45,42.1,2.6e-14,687.0,185.0
sp|P9WPJ7|MTCA1_MYCTU,sp|P9WPJ7|MTCA1_MYCTU Beta-carbonic anhydrase 1 OS=Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv) OX=83332 GN=mtcA1 PE=1 SV=1,163,8ca.alpha.45,87.1,6.4000000000000005e-28,163.0,349.0
sp|P9WPJ9|MTCA2_MYCTU,sp|P9WPJ9|MTCA2_MYCTU Carbonic anhydrase 2 OS=Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv) OX=83332 GN=mtcA2 PE=1 SV=1,207,8ca.alpha.45,26.5,1.7e-09,207.0,349.0
sp|Q03513|CCMM_SYNE7,sp|Q03513|CCMM_SYNE7 Carboxysome assembly protein CcmM OS=Synechococcus elongatus (strain ATCC 33912 / PCC 7942 / FACHB-805) OX=1140 GN=ccmM PE=1 SV=1,539,8ca.gamma.45,43.8,7.8e-15,539.0,185.0
sp|Q05909|PTPRG_MOUSE,sp|Q05909|PTPRG_MOUSE Receptor-type tyrosine-protein phosphatase gamma OS=Mus musculus OX=10090 GN=Ptprg PE=1 SV=1,1442,8ca.beta.45,94.9,3.2e-30,1442.0,381.0
sp|Q12860|CNTN1_HUMAN,sp|Q12860|CNTN1_HUMAN Contactin-1 OS=Homo sapiens OX=9606 GN=CNTN1 PE=1 SV=1,1018,NO_HIT,,,,
sp|Q16790|CAH9_HUMAN,sp|Q16790|CAH9_HUMAN Carbonic anhydrase 9 OS=Homo sapiens OX=9606 GN=CA9 PE=1 SV=2,459,8ca.beta.45,93.3,1.0000000000000001e-29,459.0,381.0
sp|Q27908|MANA_PINFU,sp|Q27908|MANA_PINFU Nacrein OS=Pinctada fucata OX=50426 PE=1 SV=1,447,8ca.beta.45,85.8,1.9e-27,447.0,381.0
sp|Q31NB3|RBL_SYNE7,sp|Q31NB3|RBL_SYNE7 Ribulose bisphosphate carboxylase large chain OS=Synechococcus elongatus (strain ATCC 33912 / PCC 7942 / FACHB-805) OX=1140 GN=cbbL PE=1 SV=1,472,NO_HIT,,,,
sp|Q4U116|S4A4_PIG,sp|Q4U116|S4A4_PIG Electrogenic sodium bicarbonate cotransporter 1 OS=Sus scrofa OX=9823 GN=SLC4A4 PE=1 SV=1,1079,NO_HIT,,,,
sp|Q54735|CYNT_SYNY3,sp|Q54735|CYNT_SYNY3 Carbonic anhydrase OS=Synechocystis sp. (strain ATCC 27184 / PCC 6803 / Kazusa) OX=1111708 GN=ccaA PE=1 SV=1,274,8ca.alpha.45,16.4,2e-06,274.0,349.0
sp|Q5AJ71|CAN_CANAL,sp|Q5AJ71|CAN_CANAL Carbonic anhydrase OS=Candida albicans (strain SC5314 / ATCC MYA-2876) OX=237561 GN=NCE103 PE=1 SV=1,281,8ca.alpha.45,18.3,5.4e-07,281.0,349.0
sp|Q62656|PTPRZ_RAT,sp|Q62656|PTPRZ_RAT Receptor-type tyrosine-protein phosphatase zeta OS=Rattus norvegicus OX=10116 GN=Ptprz1 PE=1 SV=1,2316,8ca.beta.45,89.8,1.1000000000000002e-28,2316.0,381.0
sp|Q63198|CNTN1_RAT,sp|Q63198|CNTN1_RAT Contactin-1 OS=Rattus norvegicus OX=10116 GN=Cntn1 PE=1 SV=2,1021,NO_HIT,,,,
sp|Q64444|CAH4_MOUSE,sp|Q64444|CAH4_MOUSE Carbonic anhydrase 4 OS=Mus musculus OX=10090 GN=Ca4 PE=1 SV=1,305,8ca.beta.45,112.1,1.9e-35,305.0,381.0
sp|Q6FXU7|PDR1_CANGA,sp|Q6FXU7|PDR1_CANGA Transcription factor PDR1 OS=Candida glabrata (strain ATCC 2001 / BCRC 20586 / JCM 3761 / NBRC 0622 / NRRL Y-65 / CBS 138) OX=284593 GN=PDR1 PE=1 SV=1,1107,NO_HIT,,,,
sp|Q75N34|DB3S_DIOPO,sp|Q75N34|DB3S_DIOPO Dioscorin DB3S OS=Dioscorea polystachya OX=55575 GN=DB3S PE=1 SV=1,268,8ca.beta.45,163.3,5.3e-51,268.0,381.0
sp|Q75N35|DB3L_DIOPO,sp|Q75N35|DB3L_DIOPO Dioscorin DB3L OS=Dioscorea polystachya OX=55575 GN=DB3L PE=1 SV=1,272,8ca.beta.45,155.8,1e-48,272.0,381.0
sp|Q7L1S5|CHST9_HUMAN,sp|Q7L1S5|CHST9_HUMAN Carbohydrate sulfotransferase 9 OS=Homo sapiens OX=9606 GN=CHST9 PE=1 SV=2,443,NO_HIT,,,,
tr|Q804B2|Q804B2_DANRE,tr|Q804B2|Q804B2_DANRE Forkhead box protein I1 OS=Danio rerio OX=7955 GN=foxi1 PE=2 SV=1,377,NO_HIT,,,,
sp|Q84UV8|NEC3_NICLS,sp|Q84UV8|NEC3_NICLS Bifunctional monodehydroascorbate reductase and carbonic anhydrase nectarin-3 OS=Nicotiana langsdorffii x Nicotiana sanderae OX=164110 GN=NEC3 PE=1 SV=1,274,8ca.beta.45,162.3,1.1e-50,274.0,381.0
sp|Q8BTY2|S4A7_MOUSE,sp|Q8BTY2|S4A7_MOUSE Sodium bicarbonate cotransporter 3 OS=Mus musculus OX=10090 GN=Slc4a7 PE=1 SV=2,1034,NO_HIT,,,,
sp|Q8CIW6|S26A6_MOUSE,sp|Q8CIW6|S26A6_MOUSE Solute carrier family 26 member 6 OS=Mus musculus OX=10090 GN=Slc26a6 PE=1 SV=2,758,NO_HIT,,,,
sp|Q8DKB5|CCMM_THEVB,sp|Q8DKB5|CCMM_THEVB Carboxysome assembly protein CcmM OS=Thermosynechococcus vestitus (strain NIES-2133 / IAM M-273 / BP-1) OX=197221 GN=ccmM PE=1 SV=1,652,8ca.gamma.45,63.5,6.9e-21,652.0,185.0
sp|Q8N1Q1|CAH13_HUMAN,sp|Q8N1Q1|CAH13_HUMAN Carbonic anhydrase 13 OS=Homo sapiens OX=9606 GN=CA13 PE=1 SV=1,262,8ca.beta.45,127.1,5.4e-40,262.0,381.0
sp|Q8VHB5|CAH9_MOUSE,sp|Q8VHB5|CAH9_MOUSE Carbonic anhydrase 9 OS=Mus musculus OX=10090 GN=Ca9 PE=2 SV=2,437,8ca.beta.45,107.4,5.3000000000000005e-34,437.0,381.0
sp|Q8YYI3|CCMM_NOSS1,sp|Q8YYI3|CCMM_NOSS1 Carboxysome assembly protein CcmM OS=Nostoc sp. (strain PCC 7120 / SAG 25.82 / UTEX 2576) OX=103690 GN=ccmM PE=1 SV=1,555,8ca.gamma.45,56.6,9.1e-19,555.0,185.0
sp|Q94CE4|BCA4_ARATH,sp|Q94CE4|BCA4_ARATH Beta carbonic anhydrase 4 OS=Arabidopsis thaliana OX=3702 GN=BCA4 PE=1 SV=1,280,8ca.alpha.45,13.7,1.3e-05,280.0,349.0
sp|Q9BXS9|S26A6_HUMAN,sp|Q9BXS9|S26A6_HUMAN Solute carrier family 26 member 6 OS=Homo sapiens OX=9606 GN=SLC26A6 PE=1 SV=1,759,NO_HIT,,,,
sp|Q9C6B3|GCA2_ARATH,"sp|Q9C6B3|GCA2_ARATH Gamma carbonic anhydrase 2, mitochondrial OS=Arabidopsis thaliana OX=3702 GN=GAMMACA2 PE=1 SV=1",278,8ca.gamma.45,213.3,7.6e-67,278.0,185.0
sp|Q9D6N1|CAH13_MOUSE,sp|Q9D6N1|CAH13_MOUSE Carbonic anhydrase 13 OS=Mus musculus OX=10090 GN=Ca13 PE=1 SV=1,262,8ca.beta.45,128.7,1.7e-40,262.0,381.0
sp|Q9DBD0|ICA_MOUSE,sp|Q9DBD0|ICA_MOUSE Inhibitor of carbonic anhydrase OS=Mus musculus OX=10090 GN=Inhca PE=1 SV=1,700,NO_HIT,,,,
sp|Q9GL77|S4A4_BOVIN,sp|Q9GL77|S4A4_BOVIN Electrogenic sodium bicarbonate cotransporter 1 OS=Bos taurus OX=9913 GN=SLC4A4 PE=1 SV=1,1079,NO_HIT,,,,
sp|Q9H2A9|CHST8_HUMAN,sp|Q9H2A9|CHST8_HUMAN Carbohydrate sulfotransferase 8 OS=Homo sapiens OX=9606 GN=CHST8 PE=1 SV=2,424,NO_HIT,,,,
sp|Q9JI66|S4A4_RAT,sp|Q9JI66|S4A4_RAT Electrogenic sodium bicarbonate cotransporter 1 OS=Rattus norvegicus OX=10116 GN=Slc4a4 PE=1 SV=1,1079,NO_HIT,,,,
sp|Q9R1N3|S4A7_RAT,sp|Q9R1N3|S4A7_RAT Sodium bicarbonate cotransporter 3 OS=Rattus norvegicus OX=10116 GN=Slc4a7 PE=1 SV=1,1218,NO_HIT,,,,
sp|Q9SMN1|GCAL2_ARATH,"sp|Q9SMN1|GCAL2_ARATH Gamma carbonic anhydrase-like 2, mitochondrial OS=Arabidopsis thaliana OX=3702 GN=GAMMACAL2 PE=1 SV=1",256,8ca.gamma.45,118.5,9.2e-38,256.0,185.0
sp|Q9ULX7|CAH14_HUMAN,sp|Q9ULX7|CAH14_HUMAN Carbonic anhydrase 14 OS=Homo sapiens OX=9606 GN=CA14 PE=1 SV=1,337,8ca.beta.45,104.9,2.9e-33,337.0,381.0
sp|Q9WVT6|CAH14_MOUSE,sp|Q9WVT6|CAH14_MOUSE Carbonic anhydrase 14 OS=Mus musculus OX=10090 GN=Ca14 PE=1 SV=1,337,8ca.beta.45,108.0,3.4e-34,337.0,381.0
sp|Q9XSZ4|S4A4_RABIT,sp|Q9XSZ4|S4A4_RABIT Electrogenic sodium bicarbonate cotransporter 1 OS=Oryctolagus cuniculus OX=9986 GN=SLC4A4 PE=1 SV=1,1079,NO_HIT,,,,
sp|Q9Y2D0|CAH5B_HUMAN,"sp|Q9Y2D0|CAH5B_HUMAN Carbonic anhydrase 5B, mitochondrial OS=Homo sapiens OX=9606 GN=CA5B PE=1 SV=1",317,8ca.beta.45,121.7,2.4e-38,317.0,381.0
sp|Q9Y6M7|S4A7_HUMAN,sp|Q9Y6M7|S4A7_HUMAN Sodium bicarbonate cotransporter 3 OS=Homo sapiens OX=9606 GN=SLC4A7 PE=1 SV=2,1214,NO_HIT,,,,
sp|Q9Y6R1|S4A4_HUMAN,sp|Q9Y6R1|S4A4_HUMAN Electrogenic sodium bicarbonate cotransporter 1 OS=Homo sapiens OX=9606 GN=SLC4A4 PE=1 SV=1,1079,NO_HIT,,,,
sp|Q9Y6X9|MORC2_HUMAN,sp|Q9Y6X9|MORC2_HUMAN ATPase MORC2 OS=Homo sapiens OX=9606 GN=MORC2 PE=1 SV=2,1032,NO_HIT,,,,
tr|A0A0D9RDZ2|A0A0D9RDZ2_CHLSB,tr|A0A0D9RDZ2|A0A0D9RDZ2_CHLSB Receptor-type tyrosine-protein phosphatase zeta OS=Chlorocebus sabaeus OX=60711 GN=PTPRZ1 PE=3 SV=1,2318,8ca.beta.45,92.2,2.2e-29,2318.0,381.0
tr|A0A135LPI1|A0A135LPI1_PENPA,tr|A0A135LPI1|A0A135LPI1_PENPA Alpha-aminoadipate reductase OS=Penicillium patulum OX=5078 GN=PGRI_064350 PE=3 SV=1,1619,8ca.alpha.45,14.7,6.3e-06,1619.0,349.0
tr|A0A1S3EUC1|A0A1S3EUC1_DIPOR,tr|A0A1S3EUC1|A0A1S3EUC1_DIPOR Carbonic anhydrase OS=Dipodomys ordii OX=10020 GN=Ca2 PE=3 SV=1,260,8ca.beta.45,143.6,5.2e-45,260.0,381.0
tr|A0A229Z5D9|A0A229Z5D9_9EURO,tr|A0A229Z5D9|A0A229Z5D9_9EURO Alpha-aminoadipate reductase OS=Aspergillus turcosus OX=1245748 GN=LYS2 PE=3 SV=1,1631,8ca.alpha.45,14.8,6.2e-06,1631.0,349.0
tr|A0A257JKS5|A0A257JKS5_9PROT,tr|A0A257JKS5|A0A257JKS5_9PROT Glycerol-3-phosphate dehydrogenase [NAD(P)+] OS=Alphaproteobacteria bacterium PA3 OX=2015571 GN=gpsA PE=3 SV=1,330,NO_HIT,,,,
tr|A0A2G7FPR3|A0A2G7FPR3_9EURO,tr|A0A2G7FPR3|A0A2G7FPR3_9EURO Alpha-aminoadipate reductase OS=Aspergillus arachidicola OX=656916 GN=AARAC_008592 PE=3 SV=1,1628,8ca.alpha.45,18.7,4e-07,1628.0,349.0
tr|A0A2R9A4D6|A0A2R9A4D6_PANPA,tr|A0A2R9A4D6|A0A2R9A4D6_PANPA Carbonic anhydrase OS=Pan paniscus OX=9597 GN=CA4 PE=3 SV=1,304,8ca.beta.45,98.2,3.1e-31,304.0,381.0
tr|A0A2R9CDB5|A0A2R9CDB5_PANPA,tr|A0A2R9CDB5|A0A2R9CDB5_PANPA Receptor-type tyrosine-protein phosphatase zeta OS=Pan paniscus OX=9597 GN=PTPRZ1 PE=1 SV=1,2316,8ca.beta.45,91.9,2.6e-29,2316.0,381.0
tr|A0A397HFE0|A0A397HFE0_ASPTH,tr|A0A397HFE0|A0A397HFE0_ASPTH Carbonic anhydrase OS=Aspergillus thermomutatus OX=41047 GN=LYS2 PE=3 SV=1,1631,8ca.alpha.45,14.1,1e-05,1631.0,349.0
tr|A0A3Q2I8M1|A0A3Q2I8M1_HORSE,tr|A0A3Q2I8M1|A0A3Q2I8M1_HORSE Carbonic anhydrase 4 OS=Equus caballus OX=9796 GN=CA4 PE=3 SV=1,329,8ca.beta.45,106.4,1e-33,329.0,381.0
tr|A0A452EZJ5|A0A452EZJ5_CAPHI,tr|A0A452EZJ5|A0A452EZJ5_CAPHI Receptor-type tyrosine-protein phosphatase zeta OS=Capra hircus OX=9925 GN=PTPRZ1 PE=3 SV=1,2323,8ca.beta.45,90.2,8.5e-29,2323.0,381.0
tr|A0A452G7Y5|A0A452G7Y5_CAPHI,tr|A0A452G7Y5|A0A452G7Y5_CAPHI Carbonic anhydrase 4 OS=Capra hircus OX=9925 GN=CA4 PE=3 SV=1,312,8ca.beta.45,118.6,2e-37,312.0,381.0
tr|A0A663EEN0|A0A663EEN0_AQUCH,tr|A0A663EEN0|A0A663EEN0_AQUCH Carbonic anhydrase 4 OS=Aquila chrysaetos chrysaetos OX=223781 GN=CA4 PE=3 SV=1,316,8ca.beta.45,104.2,4.8e-33,316.0,381.0
tr|A0A672U871|A0A672U871_STRHB,tr|A0A672U871|A0A672U871_STRHB Carbonic anhydrase 4 OS=Strigops habroptila OX=2489341 GN=CA4 PE=3 SV=1,316,8ca.beta.45,104.8,3.2000000000000005e-33,316.0,381.0
tr|A0A6I8NGZ9|A0A6I8NGZ9_ORNAN,tr|A0A6I8NGZ9|A0A6I8NGZ9_ORNAN Receptor-type tyrosine-protein phosphatase zeta OS=Ornithorhynchus anatinus OX=9258 GN=PTPRZ1 PE=3 SV=1,2324,8ca.beta.45,92.4,1.8e-29,2324.0,381.0
tr|A0A8C5YYS3|A0A8C5YYS3_MARMA,tr|A0A8C5YYS3|A0A8C5YYS3_MARMA Carbonic anhydrase OS=Marmota marmota marmota OX=9994 GN=CA2 PE=3 SV=1,256,8ca.beta.45,136.9,5.8e-43,256.0,381.0
tr|A0A8C9J6R5|A0A8C9J6R5_PANTA,tr|A0A8C9J6R5|A0A8C9J6R5_PANTA Transferrin OS=Panthera tigris altaica OX=74533 GN=TF PE=3 SV=1,692,NO_HIT,,,,
